comment,amr
@SandySmithNC Retweeted 🇺🇲💪,"# ::snt @SandySmithNC Retweeted 🇺🇲💪
(t / tweet-02
      :ARG0 (p / person
            :name (n / name
                  :op1 ""SandySmithNC""))
      :ARG1-of (p2 / personal-02))"
@SandySmithNC @WendyRogersAZ https://t.co/Ov2f0QtIWL FIND 11780,"# ::snt @SandySmithNC @WendyRogersAZ https://t.co/Ov2f0QtIWL FIND 11780
(s / say-01
      :ARG0 (ii / i)
      :ARG1 (f / find-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""SandySmithNC""))
            :ARG1 (p2 / person
                  :name (n2 / name
                        :op1 ""WendyRogersAZ"")))
      :ARG2 p2
      :medium (u / url-entity
            :value ""https://t.co/Ov2f0QtIWL FIND 11780""))"
@SandySmithNC @DanielsCongress Please speak for me! I can’t go.,"# ::snt @SandySmithNC @DanielsCongress Please speak for me! I can’t go.
(m / multi-sentence
      :snt1 (p / person
            :name (n / name
                  :op1 ""SandySmithNC"")
            :ARG0-of (h / have-org-role-91
                  :ARG1 (g / government-organization
                        :name (n2 / name
                              :op1 ""Congress""))))
      :snt2 (s / speak-01
            :mode imperative
            :polite +
            :ARG0 (y / you)
            :beneficiary (ii / i))
      :snt3 (p2 / possible-01
            :polarity -
            :ARG1 (g2 / go-02
                  :ARG0 ii)))"
@SandySmithNC Safe travels!,"# ::snt @SandySmithNC Safe travels!
(t / travel-01
      :mode expressive
      :ARG0 (p / person
            :name (n / name
                  :op1 ""SandySmithNC""))
      :ARG1-of (s / safe-01))"
@SandySmithNC @A_Candle_Lit Followed gladly. 😉,"# ::snt @SandySmithNC @A_Candle_Lit Followed gladly. 😉
(m / multi-sentence
      :snt1 (p / person
            :name (n / name
                  :op1 ""SandySmithNC"")
            :ARG2-of (f / follow-01
                  :manner (g / glad-02)))
      :snt2 (p2 / person
            :name (n2 / name
                  :op1 ""A_Candle_Lit"")))"
@SandySmithNC @smalltownvoice Followed and good luck,"# ::snt @SandySmithNC @smalltownvoice Followed and good luck
(a / and
      :op1 (f / follow-01
            :ARG1 (p / person
                  :name (n / name
                        :op1 ""SandySmithNC"")
                  :ARG0-of (h / have-org-role-91
                        :ARG1 (b / broadcast-program
                              :name (n2 / name
                                    :op1 ""Smalltown""
                                    :op2 ""Voice"")))))
      :op2 (l / luck
            :ARG1-of (g / good-02)))"
@SandySmithNC @KTyrky1 Followed.,"# ::snt @SandySmithNC @KTyrky1 Followed.
(f / follow-02
      :ARG0 (p / person
            :name (n / name
                  :op1 ""SandySmithNC"")
            :ARG0-of (h / have-org-role-91
                  :ARG1 (b / broadcast-program
                        :name (n2 / name
                              :op1 ""KTyrky1"")))))"
@SandySmithNC Got you honey! Be safe,"# ::snt @SandySmithNC Got you honey! Be safe
(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (ii / i)
            :ARG1 (g / get-02
                  :ARG0 (p / person
                        :name (n / name
                              :op1 ""SandySmithNC""))
                  :ARG1 (h / honey))
            :ARG2 p)
      :snt2 (s2 / safe-01
            :mode imperative
            :ARG1 (y / you)))"
@SandySmithNC @DanielsCongress We need someone in NC to stand up for The People!,"# ::snt @SandySmithNC @DanielsCongress We need someone in NC to stand up for The People!
(s / say-01
      :ARG0 (ii / i)
      :ARG1 (n / need-01
            :ARG0 (w / we)
            :ARG1 (s2 / someone
                  :location (s3 / state
                        :name (n2 / name
                              :op1 ""NC""))
                  :ARG0-of (s4 / stand-up-07
                        :beneficiary (p / people))))
      :ARG2 (p2 / person
            :name (n3 / name
                  :op1 ""SandySmithNC"")
            :ARG0-of (h / have-org-role-91
                  :ARG1 (g / government-organization
                        :name (n4 / name
                              :op1 ""Congress"")))))"
@SandySmithNC @DanielsCongress Done. 😊 Take lots of pics!,"# ::snt @SandySmithNC @DanielsCongress Done. 😊 Take lots of pics!
(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (ii / i)
            :ARG2 (p / person
                  :name (n / name
                        :op1 ""SandySmithNC""))
            :ARG3 (d / do-02
                  :ARG0 (g / government-organization
                        :name (n2 / name
                              :op1 ""Congress""))))
      :snt2 (t / take-01
            :mode imperative
            :ARG0 (y / you)
            :ARG1 (p2 / pic
                  :quant (l / lot))))"
