comment,amr
"Stephen Hawking in last book before he died said their is no god...not based upon science but based upon his liberal ""opinion""","# ::snt Stephen Hawking in last book before he died said their is no god...not based upon science but based upon his liberal ""opinion""
(s / say-01
      :ARG0 (p / person
            :name (n / name
                  :op1 ""Stephen""
                  :op2 ""Hawking""))
      :ARG1 (g / god
            :polarity -
            :domain (t / they)
            :ARG1-of (b / base-02
                  :polarity -
                  :ARG2 (s2 / science))
            :ARG1-of (c / contrast-01
                  :ARG2 (b2 / base-02
                        :ARG2 (t2 / thing
                              :ARG1-of (o / opine-01
                                    :ARG0 p)
                              :ARG1-of (l / liberal-02)))))
      :medium (b3 / book
            :mod (l2 / last)
            :time (b4 / before
                  :op1 (d / die-01
                        :ARG1 p))))"
":Trolls trolls everywhere. Proverbs :11 ""As a dog returns to its vomit, so a fool repeats his foolishness."" This is exactly why as a Christian I prefer other social networks like over gab","# ::snt :Trolls trolls everywhere. Proverbs :11 ""As a dog returns to its vomit, so a fool repeats his foolishness."" This is exactly why as a Christian I prefer other social networks like over gab
(m / multi-sentence
      :snt1 (t / troll-01
            :ARG2 (e / everywhere))
      :snt2 (v / verse
            :mod 11
            :part-of (c / chapter
                  :mod 11
                  :part-of (b / book
                        :name (n / name
                              :op1 ""Proverbs"")))
            :ARG0-of (c2 / cause-01
                  :ARG1 (r / repeat-01
                        :ARG0 (f / fool)
                        :ARG1 (f2 / foolishness
                              :poss f)
                        :ARG1-of (c3 / cause-01
                              :ARG0 (p / prefer-01
                                    :ARG0 (ii / i)
                                    :ARG1 (n2 / network
                                          :mod (s / social)
                                          :mod (o / other)
                                          :ARG1-of (r2 / resemble-01
                                                :ARG2 (g / gab)))
                                    :ARG1-of (c4 / cause-01
                                          :ARG0 (r3 / religious-group
                                                :name (n3 / name
                                                      :op1 ""Christian"")
                                                :domain ii)
                                          :mod (e2 / exact))))))))"
,"# ::snt 
(a / amr-empty)"
,"# ::snt 
(a / amr-empty)"
,"# ::snt 
(a / amr-empty)"
,"# ::snt 
(a / amr-empty)"
,"# ::snt 
(a / amr-empty)"
You can say the same thing without all the foul language and name calling,"# ::snt You can say the same thing without all the foul language and name calling
(p / possible-01
      :ARG1 (s / say-01
            :ARG0 (y / you)
            :ARG1 (t / thing
                  :ARG1-of (s2 / same-01))
            :manner (a / and
                  :polarity -
                  :op1 (l / language
                        :mod (f / foul))
                  :op2 (c / call-01
                        :ARG2 (n / name))
                  :mod (a2 / all))))"
Using terms that are deragatory towards a religion is not acceptable.,"# ::snt Using terms that are deragatory towards a religion is not acceptable.
(p / possible-01
      :polarity -
      :ARG1 (a / accept-01
            :ARG1 (u / use-01
                  :ARG1 (t / term
                        :ARG0-of (d / deride-01
                              :ARG1 (r / religion))))))"
"Whether or not you believe in god or you're an atheist, let's show respect for everyone's view and not mute them out or discount their ideas","# ::snt Whether or not you believe in god or you're an atheist, let's show respect for everyone's view and not mute them out or discount their ideas
(a / and
      :op1 (s / show-01
            :mode imperative
            :ARG0 (w / we)
            :ARG1 (r / respect-01
                  :ARG0 w
                  :ARG1 (v / view-02
                        :ARG0 (e / everyone))))
      :op2 (o / or
            :op1 (m / mute-01
                  :mode imperative
                  :ARG0 w
                  :ARG1 v)
            :op2 (d / discount-02
                  :mode imperative
                  :ARG0 w
                  :ARG1 (ii / idea
                        :poss v)))
      :ARG1-of (r2 / regardless-91
            :ARG2 (o2 / or
                  :op1 (b / believe-01
                        :ARG0 (y / you)
                        :ARG1 (p / person
                              :name (n / name
                                    :op1 ""God"")))
                  :op2 (a2 / atheist
                        :domain y))))"
