comment,amr
,"# ::snt 
(a / amr-empty)"
OK then.Missed your tweets. Hope to see you back soon with all your witty comebacks,"# ::snt OK then.Missed your tweets. Hope to see you back soon with all your witty comebacks
(m / multi-sentence
      :snt1 (c / cause-01
            :ARG0 (m2 / miss-02
                  :ARG0 (ii / i)
                  :ARG1 (t / tweet-01
                        :ARG0 (y / you))))
      :snt2 (h / hope-01
            :ARG0 (ii2 / i)
            :ARG1 (s / see-01
                  :ARG0 ii2
                  :ARG1 (y2 / you)
                  :time (s2 / soon)
                  :accompanier (c2 / comeback
                        :mod (w / witty)
                        :mod (a / all)
                        :poss y2))))"
Hahaha yeeet. Alhumdulillahhh it's going good.,"# ::snt Hahaha yeeet. Alhumdulillahhh it's going good.
(m / multi-sentence
      :snt1 (y / yeeet
            :mode expressive)
      :snt2 (g / go-08
            :ARG1 (ii / it)
            :ARG2 (g2 / good-02)
            :mod (h / hmm
                  :mode expressive)))"
You cold blooded sugar coated kakaaay! Hope all is well otherwise..,"# ::snt You cold blooded sugar coated kakaaay! Hope all is well otherwise..
(m / multi-sentence
      :snt1 (k / kakaaay
            :mode expressive
            :ARG1-of (c / coat-01
                  :ARG2 (s / sugar)
                  :ARG1-of (c2 / cold-01))
            :domain (y / you))
      :snt2 (h / hope-01
            :ARG0 (ii / i)
            :ARG1 (w / well-09
                  :ARG1 (a / all)
                  :condition (h2 / have-polarity-91
                        :ARG2 -))))"
Just had stuff to do. I'm gonna go back into hibernation soon,"# ::snt Just had stuff to do. I'm gonna go back into hibernation soon
(m / multi-sentence
      :snt1 (d / do-02
            :ARG0 (ii / i)
            :ARG1 (s / stuff)
            :mod (j / just))
      :snt2 (g / go-back-19
            :ARG1 (ii2 / i)
            :ARG2 (h / hibernate-01
                  :ARG0 ii2)
            :time (s2 / soon)))"
Heeeeyyyyy!!Where did you go,"# ::snt Heeeeyyyyy!!Where did you go
(g / go-02
      :mode expressive
      :ARG0 (y / you)
      :ARG4 (a / amr-unknown))"
Lmao,"# ::snt Lmao
(l / laugh-01
      :ARG0 (ii / i
            :part (a / ass))
      :ARG3 (o / off
            :op1 a))"
,"# ::snt 
(a / amr-empty)"
loving this energy from ur acc bro,"# ::snt loving this energy from ur acc bro
(l / love-01
      :ARG0 (y / you)
      :ARG1 (e / energy
            :mod (t / this)
            :source (p / person
                  :ARG0-of (h / have-rel-role-91
                        :ARG1 y
                        :ARG2 (b / brother)))))"
Haha,"# ::snt Haha
(h / haha
      :mode expressive)"
