,Unnamed: 0,sample,sent_id,sentences,label
1,1,politifact15287,politifact15287_1,The Clinton Foundation is once again trying to distance itself from a scandal surrounding something they’re involved in.,false_
2,2,politifact15287,politifact15287_2,"This time, the warehouse they use in the UK to store food and toiletries to make ready for shipping to Africa and Indonesia was raided by MI6.",false_
3,3,politifact15287,politifact15287_3,"The warehouse, which is leased by the Foundation and one other tenant, is owned by a man known for shady arms deals and exploiting cheap Asian labor for counterfeit goods.",false_
4,4,politifact15287,politifact15287_4,"The Brits took down his office and storage space, finding 400 Million in US Dollars.",false_
11,11,politifact15287,politifact15287_11,It was palletted and wrapped in US State Department palstic sheeting.,false_
5,5,politifact15287,politifact15287_5,Maleek Bin Shalakta has been on the UK terrorist watch list for some time.,true_
6,6,politifact15287,politifact15287_6,The Foundation claims to only be renting the space.,true_
8,8,politifact15287,politifact15287_8,You Might Also Like“Who owns the building is irrelevant. We rented through an agency.”,true_
9,9,politifact15287,politifact15287_9,"The agency in question is also owned by Bin Shalakta, as is the trucking company the Foundation uses in France, Germany and Latkavia.",true_
10,10,politifact15287,politifact15287_10,Commander Ian Humes says the coincidences are far too many to ignore:“What interests us is that the cash is the same amount as the US payments to Iran for hostages.,true_
12,12,politifact15287,politifact15287_12,We believe we may be looking at more than money laundering here.,true_
15,15,politifact15287,politifact15287_15,Once MI6 is finished processing the scene they’ve vowed to work with the FBI to figure out if there’s a connection.,true_
13,13,politifact15287,politifact15287_13,This may be a massive fraud perpetrated against Americans and the world.,non_check_worthy
14,14,politifact15287,politifact15287_14,”What we’re looking at here is yet another crime against America.,non_check_worthy
0,0,politifact15287,politifact15287_0,Tweet,noise
7,7,politifact15287,politifact15287_7,Chelsea Clinton’s assistant told LLOD correspondent Cynthia Luwhoe:,noise
16,16,politifact15287,politifact15287_16,We’ll keep you updated.,noise
