comment,amr
"Las casas antiguas me fascinan, tienen vida, las casas tienen su alma, su energa","# ::snt Las casas antiguas me fascinan, tienen vida, las casas tienen su alma, su energa
(m / multi-sentence
      :snt1 (a / and
            :op1 (f / fascinate-01
                  :ARG0 (c / casas
                        :ARG1-of (a2 / antiguas-00
                              :ARG0 (ii / i)))
                  :ARG1 ii)
            :op2 (t / tienen-01
                  :ARG1 (v / vida)))
      :snt2 (t2 / tienen-01
            :ARG1 (c2 / casas
                  :mod (o / other))
            :ARG2 (a3 / and
                  :op1 (a4 / alma)
                  :op2 (e / energa))))"
Y que queras ver Baudi? Jaja,"# ::snt Y que queras ver Baudi? Jaja
(s / say-01
      :ARG0 (ii / i)
      :ARG1 (q / queras-00
            :ARG0 (y / you)
            :ARG1 (p / person
                  :name (n / name
                        :op1 ""Baudi""))
            :polarity (a / amr-unknown))
      :ARG2 p
      :name n
      :op1 ""Jaja"")"
Interesantiiiiisimo,"# ::snt Interesantiiiiisimo
(ii / intend-01)"
,"# ::snt 
(a / amr-empty)"
That was my guess,"# ::snt That was my guess
(g / guess-01
      :ARG0 (ii / i)
      :ARG1 (t / that))"
,"# ::snt 
(a / amr-empty)"
la ressemblance est assez frappante faut ldire l sacr Gilles,"# ::snt la ressemblance est assez frappante faut ldire l sacr Gilles
(e / est-01
      :ARG1 (o / organization
            :name (n / name
                  :op1 ""la""
                  :op2 "" ressemblance""))
      :ARG2 (a / assez-fahrenheit
            :mod (f / faut))
      :ARG1-of (s / say-01
            :ARG0 (ii / i)
            :ARG2 (p / person
                  :name (n2 / name
                        :op1 ""L sacr""
                        :op2 ""Gillard""))))"
hay que llamarlos morenistas mejor porque habemos seguidores del verdadero revolucionario vladimir LENIN,"# ::snt hay que llamarlos morenistas mejor porque habemos seguidores del verdadero revolucionario vladimir LENIN
(m / multi-sentence
      :snt1 (m2 / mejor
            :domain (l / llamarlos
                  :mod (m3 / morenista)))
      :snt2 (h / have-condition-91
            :ARG1 (h2 / habemos-as-if
                  :ARG0 (p / person
                        :name (n / name
                              :op1 ""Vladimir""
                              :op2 ""LENIN""))
                  :ARG1 (s / seguidore
                        :mod (d / del-venezuela
                              :mod (v / verdadero)
                              :mod (r / revolucionario))))
            :ARG2 (p2 / possible-01
                  :ARG1 (l2 / laugh-01
                        :ARG0 p))))"
Y de contar chistes ni hablar..... aunque no creo que dure los aos.,"# ::snt Y de contar chistes ni hablar..... aunque no creo que dure los aos.
(m / multi-sentence
      :snt1 (p / possible-01
            :polarity -
            :ARG1 (c / contar-01
                  :ARG0 (y / you)
                  :ARG1 (c2 / chistes)))
      :snt2 p
      :polarity -
      :ARG1 (h / hablar-01
            :ARG0 y)
      :snt3 (h2 / have-concession-91
            :ARG1 (c3 / creo
                  :polarity -
                  :mode expressive
                  :ARG0 (y2 / you)
                  :ARG1 (d / dure-01
                        :ARG0 (y3 / you)
                        :ARG1 (a / ao)))))"
Lo veran un monstrito apestosito,"# ::snt Lo veran un monstrito apestosito
(v / veran-00
      :ARG1 (u / un
            :ARG1-of (h / have-mod-91
                  :ARG2 (a / apestosito))))"
,"# ::snt 
(a / amr-empty)"
"El tipo es tan incapaz, que hasta los que le aplauden hoy, son los adversarios de Correa, pueblo no tiene, porque los traiciono y eso no se perdona","# ::snt El tipo es tan incapaz, que hasta los que le aplauden hoy, son los adversarios de Correa, pueblo no tiene, porque los traiciono y eso no se perdona
(m / multi-sentence
      :snt1 (p / possible-01
            :polarity -
            :ARG1 (ii / incapaz
                  :mod (t / tan)
                  :domain (t2 / tip
                        :mod (e / el)))
            :ARG1-of (c / cause-01
                  :ARG0 (h / hasta
                        :op1 (a / aplauden-01
                              :ARG0 (p2 / person
                                    :ARG0-of (h2 / have-org-role-91
                                          :ARG1 (ii2 / island
                                                :name (n / name
                                                      :op1 ""Correa""))
                                          :ARG2 (a2 / adversary))))))
            :snt2 (s / son-01
                  :ARG0 (p3 / person)
                  :ARG1 (p4 / person
                        :ARG0-of h2
                        :ARG1 (ii3 / island
                              :name (n2 / name
                                    :op1 ""Pueblo""))
                        :ARG2 a2)))
      :ARG1-of (c2 / cause-01
            :ARG0 (a3 / and
                  :op1 (t3 / traiciono)
                  :op2 (p5 / perdona
                        :polarity -
                        :domain (e2 / eso)))))"
HUY SAME AAAAGGHHH SAW FRANCHISE THE BESSST!! super parehas talaga tayo ng taste AHAHA,"# ::snt HUY SAME AAAAGGHHH SAW FRANCHISE THE BESSST!! super parehas talaga tayo ng taste AHAHA
(m / multi-sentence
      :snt1 (s / same-01
            :ARG1 (t / together)
            :ARG2 (b / blow-10
                  :mode imperative
                  :ARG0 (y / you)
                  :ARG1 (b2 / bitch)))
      :snt2 (p / pareh
            :mode expressive
            :mod (s2 / super)
            :mod (t2 / talaga
                  :mod (t3 / tayo
                        :mod (t4 / taste))))
      :snt3 (a / aHAHA
            :mode expressive))"
uy dyan ko napanood lahat ng saw tapos collectors edition hahaha ansaya puro thriller,"# ::snt uy dyan ko napanood lahat ng saw tapos collectors edition hahaha ansaya puro thriller
(m / multi-sentence
      :snt1 (c / cause-01
            :ARG0 (e / edition
                  :mod (c2 / collect-01
                        :ARG1 (p / product
                              :name (n / name
                                    :op1 ""Taps""))))
            :ARG1 (l / laugh-01
                  :mode expressive
                  :ARG0 (ii / i)
                  :manner (l2 / loud)))
      :snt2 (t / thriller
            :name (n2 / name
                  :op1 ""Anaya""
                  :op2 ""Puro"")))"
Dba dba ano pinapanuod mo non?,"# ::snt Dba dba ano pinapanuod mo non?
(a / amr-unintelligible
      :value ""Dba dba ano pinapanuod""
      :polarity (a2 / amr-unknown))"
Uy yesss hahaha i remember the days,"# ::snt Uy yesss hahaha i remember the days
(r / remember-01
      :ARG0 (ii / i)
      :ARG1 (d / day)
      :mod (u / uy-yeah
            :mode expressive))"
"lalo na yung bond, bourne and Misson Impossible franchise. Ethan Hunt parin pinaka magaling, sunod si Bourne, next si Bond.","# ::snt lalo na yung bond, bourne and Misson Impossible franchise. Ethan Hunt parin pinaka magaling, sunod si Bourne, next si Bond.
(m / multi-sentence
      :snt1 (l / lalo
            :mod (y / yung)
            :topic (f / franchise
                  :name (n / name
                        :op1 ""Bourne""
                        :op2 ""and""
                        :op3 ""Misson""
                        :op4 ""Impossible"")))
      :snt2 (a / and
            :op1 (p / parin-01
                  :ARG0 (p2 / person
                        :name (n2 / name
                              :op1 ""Ethan""
                              :op2 ""Hunt""))
                  :ARG1 (p3 / pinaka
                        :mod (m2 / magaling)))
            :op2 (s / sunod
                  :mod (p4 / person
                        :name (n3 / name
                              :op1 ""Bourke"")))
            :op3 (p5 / person
                  :name (n4 / name
                        :op1 ""Bourke""))
            :op4 (p6 / person
                  :name (n5 / name
                        :op1 ""Bond"")
                  :mod (n6 / next))))"
Nop,"# ::snt Nop
(p / person
      :name (n / name
            :op1 ""Nop""))"
,"# ::snt 
(a / amr-empty)"
"LMAO...""Long time boyfriend""...Maybe the REAL truth is out...","# ::snt LMAO...""Long time boyfriend""...Maybe the REAL truth is out...
(m / multi-sentence
      :snt1 (l / laugh-01
            :ARG0 (ii / i)
            :manner (l2 / loud))
      :snt2 (p / person
            :ARG0-of (h / have-rel-role-91
                  :ARG2 (b / boyfriend))
            :ARG1-of (l3 / long-03))
      :snt3 (p2 / possible-01
            :ARG1 (o / out-03
                  :ARG1 (t / truth
                        :ARG1-of (r / real-04)))))"
,"# ::snt 
(a / amr-empty)"
